App,Category,Rating,Reviews,Type,Price,Content Rating
A/C REFRIGERANT CAPACITY,BUSINESS,1.7,84,Free,0,Everyone
A/C Universal Remote Control,TOOLS,3.1,3263,Free,0,Everyone
aa,FAMILY,4.2,886418,Free,0,Everyone
AAFP,MEDICAL,3.8,63,Free,0,Everyone
ab,FAMILY,3.8,10,Free,0,Everyone
AB Blast Match 3,FAMILY,4.3,111,Free,0,Everyone
AB Crush Match 3,FAMILY,4.3,96,Free,0,Everyone
AB Match,FAMILY,4.2,9,Free,0,Everyone
AB Screen Recorder,TOOLS,4.2,533,Free,0,Everyone
ABC – Live TV & Full Episodes,FAMILY,3.3,50428,Free,0,Teen
ABC Kids - Tracing & Phonics,FAMILY,4.5,36606,Free,0,Everyone
ABCmouse.com,FAMILY,4.3,50887,Free,0,Everyone
abeoCoder,MEDICAL,3.1,83,Free,0,Everyone
"AC & TV, DVD, Set Top Box - Remote control IR",TOOLS,3.6,3632,Free,0,Everyone
AC Freedom,BUSINESS,3.5,537,Free,0,Everyone
ac remote control,TOOLS,3.7,9514,Free,0,Everyone
Ac remote control,TOOLS,3.7,822,Free,0,Everyone
AC Remote Control,TOOLS,3.3,472,Free,0,Everyone
AC remote control mobile,TOOLS,3.9,3043,Free,0,Everyone
AC Remote Control Simulator,FAMILY,3.3,353,Free,0,Everyone
AC Remote for Carrier - NOW FREE,TOOLS,3.7,163,Free,0,Everyone
AC Remote for Daikin - NOW FREE,TOOLS,3.5,383,Free,0,Everyone
AC Remote for Haier - NOW FREE,TOOLS,3.9,336,Free,0,Everyone
AC Remote For LG,TOOLS,3,1298,Free,0,Everyone
AC Remote for LG - NOW FREE,TOOLS,3.7,1041,Free,0,Everyone
AC Remote for Midea - NOW FREE,TOOLS,4,448,Free,0,Everyone
AC Remote for O General - NOW FREE,TOOLS,3.7,274,Free,0,Everyone
AC Remote for Samsung - NOW FREE,TOOLS,3.7,566,Free,0,Everyone
AC Remote for Sharp - NOW FREE,TOOLS,3.7,332,Free,0,Everyone
AC REMOTE UNIVERSAL-PRO,FAMILY,1.6,402,Free,0,Everyone
AC Troubleshooter,TOOLS,4.7,147,Free,0,Everyone
AC WIFI,TOOLS,3.6,41,Free,0,Everyone
Access Point Browser,TOOLS,4.2,25,Free,0,Everyone
Account Class-11 Solutions (D K Goel),FAMILY,4.5,663,Free,0,Everyone
Account Class-12 Solutions (D K Goel) Vol-1,FAMILY,4.4,708,Free,0,Everyone
Account Class-12 Solutions (D K Goel) Vol-2,FAMILY,4.6,124,Free,0,Everyone
Account Manager,TOOLS,4.1,76604,Free,0,Everyone
Accounting App - Zoho Books,BUSINESS,4.5,3079,Free,0,Everyone
Accounting Quiz (AQ) Malaysia,FAMILY,5,25,Free,0,Everyone
Ace Screen Recorder w facecam,TOOLS,4.2,2447,Free,0,Everyone
Across Age DX,FAMILY,3.8,5964,Free,0,Teen
Acupuncture Assistant,MEDICAL,4.5,492,Paid,7.99,Everyone
Ad-free Triangle Solver,FAMILY,4.5,118,Free,0,Everyone
Ad Block REMOVER - NEED ROOT,TOOLS,3.3,999,Free,0,Everyone
Ad Detector,TOOLS,3.8,208,Free,0,Everyone
Ada - Your Health Guide,MEDICAL,4.7,87418,Free,0,Everyone
AdClear Ad blocker for Samsung,TOOLS,4.2,1586,Free,0,Everyone
Adguard Content Blocker,TOOLS,4.1,14491,Free,0,Everyone
Adivina el cantante de Trap y Reggaeton,GAME,4.5,1914,Free,0,Everyone
ADMIRALTY H-Note,BUSINESS,4.5,176,Free,0,Everyone
ADP Mobile Solutions,BUSINESS,4.3,85185,Free,0,Everyone
ADS-B Driver,TOOLS,5,2,Paid,1.99,Everyone
Adult Color by Number Book - Paint Mandala Pages,FAMILY,4.3,997,Free,0,Everyone
Adult Color By Number Book: Number Coloring Pages,FAMILY,4.2,2231,Free,0,Everyone
Advanced calculator fx 991 es plus & 991 ms plus,FAMILY,4.7,7252,Free,0,Everyone
Advanced Download Manager,TOOLS,4.5,569727,Free,0,Everyone
Advanced Download Manager Holo,TOOLS,4.4,16192,Free,0,Everyone
Advanced Download Manager Pro,TOOLS,4.7,6505,Paid,2.99,Everyone
Advanced EX for FIAT,TOOLS,3.5,138,Paid,4.99,Everyone
Advanced EX for HYUNDAI,TOOLS,2.7,168,Paid,4.99,Everyone
Advanced EX for KIA,TOOLS,3.3,257,Paid,4.99,Everyone
Advanced EX for MITSUBISHI,TOOLS,2.9,33,Paid,4.99,Everyone
Advanced EX for NISSAN,TOOLS,2.9,164,Paid,4.99,Everyone
Advanced EX for RENAULT,TOOLS,2.8,130,Paid,4.99,Everyone
Advanced Warfare Guns,FAMILY,2.9,2079,Free,0,Everyone
Adventure Quest World Mobile Quiz,FAMILY,4.6,28,Free,0,Everyone
Adventure Time Game Wizard,GAME,4.1,4107,Paid,4.99,Everyone
Adventure Time Run,GAME,4.3,24628,Free,0,Everyone
Adventure Xpress,FAMILY,4.2,24775,Free,0,Everyone 10+
AdventureQuest 3D MMO,FAMILY,4.3,22667,Free,0,Teen
AdventureQuest Dragons,FAMILY,3.9,10114,Free,0,Everyone
AdWords Express,BUSINESS,4.1,7149,Free,0,Everyone
AE 3D Moto 3,GAME,3.9,2588,Free,0,Everyone 10+
AE 3D MOTOR :Racing Games Free,GAME,4.2,74902,Free,0,Everyone
AE Angry Chef,GAME,4.1,533,Free,0,Everyone 10+
AE Bingo: Offline Bingo Games,GAME,4.4,61746,Free,0,Teen
AE Blackjack,GAME,4,1417,Free,0,Teen
AE Bubble:Offline Bubble Games,FAMILY,4.2,6973,Free,0,Everyone
AE City Jump,GAME,4.5,804,Free,0,Everyone
AE Coin Mania : Arcade Fun,GAME,4.3,30002,Free,0,Teen
AE Fishing Hunter,GAME,4.4,14,Free,0,Everyone
AE FreeCell,GAME,4.2,358,Free,0,Everyone
AE GTO Racing,GAME,3.9,6988,Free,0,Everyone 10+
AE Gun Ball: arcade ball games,GAME,3.7,8581,Free,0,Everyone
AE Jewels,GAME,4.2,960,Free,0,Everyone
AE Jewels 2: Island Adventures,GAME,4.2,652,Free,0,Everyone
AE Lucky Fishing,GAME,4.3,18277,Free,0,Teen
AE Master Moto,GAME,4,17876,Free,0,Everyone
AE Order,TOOLS,4.1,19,Free,0,Everyone
AE Roundy POP,FAMILY,4.4,5262,Free,0,Everyone
AE Solitaire,GAME,4.3,1776,Free,0,Everyone
AE Spider Solitaire,GAME,4.5,17263,Free,0,Everyone
AE Sudoku,FAMILY,4.3,2171,Free,0,Everyone
AE Video Poker,GAME,4,721,Free,0,Teen
Aegis BT,BUSINESS,4.8,16,Free,0,Everyone
AF-STROKE (FREE),MEDICAL,4.5,93,Free,0,Teen
AG Drive 3D,GAME,3.8,164,Free,0,Everyone
AG Screen Recorder,TOOLS,3.7,7,Free,0,Everyone
AG Subway Simulator Lite,FAMILY,4.4,6738,Free,0,Everyone
AG Subway Simulator Mobile,FAMILY,4.5,623,Paid,0.99,Everyone
AG Track,TOOLS,4.1,12,Free,0,Everyone
Ag Valley Cooperative,BUSINESS,5,6,Free,0,Everyone
Agar.io,GAME,4.2,3816799,Free,0,Everyone
Age Calculator,TOOLS,4.4,24265,Free,0,Everyone
Age of AI: War Strategy,FAMILY,4.6,71,Paid,2.49,Everyone
Age of Conquest: N. America,FAMILY,4.5,659,Paid,3.99,Everyone
Age of Procreation DX,FAMILY,4.3,1894,Free,0,Mature 17+
Agenda EF,FAMILY,3.4,79,Free,0,Everyone
Agent HQ for The Division,FAMILY,4.1,1060,Free,0,Everyone
AH-1 Viper Cobra Ops - helicopter flight simulator,GAME,3.8,1088,Free,0,Teen
AH Alarm Panel,TOOLS,3.9,7,Paid,4.99,Everyone
Ah! Coins,GAME,3.4,256,Free,0,Everyone
Ah! Cutie,FAMILY,3.9,536,Free,0,Everyone
Ah! Monster,FAMILY,4.1,1998,Free,0,Everyone
AI Benchmark,TOOLS,4,97,Free,0,Everyone
Ai File Viewer,TOOLS,4,66,Free,0,Everyone
AI with Python Tutorial,FAMILY,4.4,8,Free,0,Everyone
ai.type keyboard Plus + Emoji,TOOLS,4.5,57076,Paid,4.49,Everyone
Air conditioner remote control,TOOLS,3.4,29854,Free,0,Everyone
Airplane Fly Hawaii,FAMILY,4.1,83427,Free,0,Everyone
Airplane Pilot Car Transporter,FAMILY,4.1,182363,Free,0,Everyone
AirWatch Agent,BUSINESS,3.1,20973,Free,0,Everyone
AirWatch Inbox,BUSINESS,2.7,8346,Free,0,Everyone
Airway Ex - Intubate. Anesthetize. Train.,MEDICAL,4.3,123,Free,0,Everyone
AJ Academy: Amazing Animals,FAMILY,4.5,1564,Free,0,Everyone
AJ Jump: Animal Jam Kangaroos!,GAME,4.4,2975,Paid,1.99,Everyone
AJ Official,FAMILY,4.6,31,Free,0,Everyone
AJ Rafael Music Lessons,FAMILY,5,1,Free,0,Everyone
AK-47 3D,GAME,3.7,91,Free,0,Everyone
AK-47 Assault Rifle,FAMILY,3.7,165,Free,0,Teen
AK-47 sounds,FAMILY,3.9,7,Free,0,Everyone
AK-47 Sounds,FAMILY,3.9,656,Free,0,Everyone 10+
AK-47: Simulator and Shooting,FAMILY,4,345,Free,0,Everyone 10+
AK Booster,TOOLS,3.8,71,Free,0,Everyone
AK Interactive,FAMILY,4.3,734,Free,0,Everyone
AK Math Coach,FAMILY,3.6,283,Free,0,Everyone
AK47 Assault Rifle,TOOLS,3.9,54,Free,0,Everyone
AKASO DV,TOOLS,2.4,99,Free,0,Everyone
Akinator,FAMILY,4.3,1805398,Free,0,Teen
Al-Quran Ahmad Saud Offline,FAMILY,4.7,7116,Free,0,Everyone
Al-Quran Al-Muallim,FAMILY,4.5,199,Free,0,Everyone
Al jazeera TV,FAMILY,4.6,9952,Free,0,Teen
Al Quran Audio (Full 30 Juz),FAMILY,4.7,7878,Free,0,Everyone
Al Quran MP3 - Quran Reading®,FAMILY,4.7,47463,Free,0,Everyone
Alabama DMV Permit Test - AL,FAMILY,4.3,218,Free,0,Everyone
Alarm Clock,TOOLS,4.3,114788,Free,0,Everyone
Alarm Clock Free,TOOLS,4,59973,Free,0,Everyone
Alba Heaven - Alvarez Job Portal Services,BUSINESS,4,8941,Free,0,Everyone
Alchemy Classic Ad Free,FAMILY,4.6,20178,Free,0,Everyone
Alex Fuel Calculator for EK,TOOLS,4.9,19,Free,0,Everyone
Alif Ba Ta Song - Arabic Kids,FAMILY,4.5,227,Free,0,Everyone
"Alizay, pirate girl",FAMILY,4.5,197,Paid,2.99,Everyone
All-in-One Mahjong 3,FAMILY,4.4,38,Paid,0.99,Everyone
All-in-One Mahjong 3 FREE,FAMILY,4.5,566,Free,0,Everyone
All C Programs,FAMILY,4.7,2387,Free,0,Everyone
All Info about Cg,FAMILY,4.7,15,Free,0,Teen
All Language Translator,TOOLS,4,29944,Free,0,Everyone
All Mental disorders,MEDICAL,4.5,453,Free,0,Everyone
All Type DP,FAMILY,4.3,1853,Free,0,Everyone
Allsetra B.V.,BUSINESS,4.1,15,Free,0,Everyone
ALPHA - Artificial Intelligence,FAMILY,4,51,Free,0,Everyone
Alphabet A-Z,FAMILY,3.9,306,Free,0,Everyone
Alto's Adventure,GAME,4.6,515657,Free,0,Everyone
Amazing CG Backgrounds,FAMILY,4.2,34,Free,0,Everyone
Amazing Fart Sounds,FAMILY,4,28136,Free,0,Everyone
Ambulance Rescue Simulator 17,FAMILY,4.3,6669,Free,0,Everyone
Ambulance Simulator 3D,FAMILY,3.9,29415,Free,0,Mature 17+
AMC,FAMILY,3.2,20843,Free,0,Teen
American Sniper City Fight Shooting Assassin,GAME,4.1,395,Free,0,Teen
An Elite Warrior Ex,GAME,4.7,15,Paid,0.99,Everyone
Analog and Digital Clock AW-7,TOOLS,4,202,Free,0,Everyone
Analog Clock AW-7,TOOLS,4.3,2158,Free,0,Everyone
Analog Clock AW-7 PRO,TOOLS,3.3,40,Paid,1.99,Everyone
Analog Clock AW Plus-7,TOOLS,4.2,725,Free,0,Everyone
Anatomy & Physiology Vocabulary Exam Review App,MEDICAL,5,1,Free,0,Everyone
Anatomy Learning - 3D Atlas,MEDICAL,4.5,72167,Free,0,Everyone
AnatomyMapp,MEDICAL,4.1,80,Paid,14.99,Everyone
Android P Launcher 9.0 launcher,TOOLS,4,164,Free,0,Everyone
Android P Rotation,TOOLS,4.5,502,Free,0,Everyone
Angelo Rules - Crazy day,GAME,3.9,108336,Free,0,Everyone
Anger of stick 5 : zombie,GAME,4.5,549039,Free,0,Teen
Angry Birds 2,GAME,4.6,3883589,Free,0,Everyone
Angry Birds Blast,FAMILY,4.6,253115,Free,0,Everyone
Angry Birds Classic,GAME,4.4,5566908,Free,0,Everyone
Angry Birds Epic RPG,FAMILY,4.5,2634605,Free,0,Everyone
Angry Birds Evolution,FAMILY,4.5,384602,Free,0,Everyone
Angry Birds Friends,GAME,4.2,829753,Free,0,Everyone
Angry Birds Go!,GAME,4.2,3846378,Free,0,Everyone
Angry Birds Match,FAMILY,4.7,227401,Free,0,Everyone
Angry Birds POP Bubble Shooter,FAMILY,4.5,596628,Free,0,Everyone
Angry Birds Rio,GAME,4.4,2610680,Free,0,Everyone
Angry Birds Space HD,GAME,4.5,43645,Free,0,Everyone
Angry Birds Star Wars,GAME,4.3,1218055,Free,0,Everyone
Angry Shark 2016,FAMILY,4,73185,Free,0,Teen
Animal Jam - Play Wild!,FAMILY,4.6,361970,Free,0,Everyone
Anime Expo 2018,FAMILY,4.7,54,Free,0,Everyone
Anime Love Story Games: ✨Shadowtime✨,FAMILY,4.7,198480,Free,0,Everyone
Ankle Surgery ER Emergency,FAMILY,3.3,10449,Free,0,Teen
Anna.K Tarot,FAMILY,4.8,17,Paid,3.99,Mature 17+
Anno: Build an Empire,FAMILY,3.5,33944,Free,0,Everyone 10+
Ant Smasher by Best Cool & Fun Games,GAME,4.2,1185148,Free,0,Everyone
Antenna Tool,TOOLS,4.2,522,Free,0,Everyone
Antenna Tool Premium,TOOLS,4.5,14,Paid,0.99,Everyone
Anthem Anywhere,MEDICAL,2.7,2657,Free,0,Everyone
Anthem BC Anywhere,MEDICAL,2.6,496,Free,0,Everyone
Anti-virus Dr.Web Light,TOOLS,4.5,1094094,Free,0,Everyone
Anti Adware,TOOLS,3.9,18751,Free,0,Everyone
Anti Mosquito simulation,MEDICAL,4.2,74,Paid,1.5,Everyone
Antivirus & Mobile Security,TOOLS,4.6,351267,Free,0,Everyone
ao,FAMILY,3.5,14145,Free,0,Everyone
Ao Oni2,GAME,4.1,21223,Free,0,Teen
AO Surgery Reference,MEDICAL,4.7,2570,Free,0,Everyone
AO/OTA Fracture Classification,MEDICAL,4.9,25,Free,0,Everyone
AP Art History Flashcards,FAMILY,5,1,Paid,29.99,Mature 17+
"AP Biology Prep: Practice Tests, Flashcards",FAMILY,4.6,87,Free,0,Everyone
AP Biology Study Guide + Quiz,FAMILY,4.4,105,Free,0,Everyone
AP Calculus BC Practice Test,FAMILY,4.2,4,Free,0,Everyone
AP Calculus BC: Practice Tests and Flashcards,FAMILY,3.6,5,Free,0,Everyone
AP Chemistry Prep: Practice Tests and Flashcards,FAMILY,4.7,55,Free,0,Everyone
AP English Language: Practice Tests and Flashcards,FAMILY,4.5,19,Free,0,Everyone
AP European History: Practice Tests and Flashcards,FAMILY,4.7,7,Free,0,Everyone
AP Flashcards,FAMILY,3.7,88,Free,0,Everyone
AP Government Review,FAMILY,4.7,3,Paid,2.99,Everyone
AP Installer,TOOLS,4.5,23,Free,0,Everyone
AP Manager,TOOLS,4,177,Free,0,Everyone
AP Math & Computer Science,FAMILY,3.7,37,Free,0,Everyone
AP Mobile,FAMILY,4.6,117,Free,0,Everyone
AP Physics 1 Prep: Practice Tests and Flashcards,FAMILY,4.4,29,Free,0,Everyone
AP Planner,FAMILY,2.9,45,Free,0,Everyone
AP Psychology Prep: Practice Tests and Flashcards,FAMILY,4.5,242,Free,0,Everyone
AP Statistics Prep: Practice Tests and Flashcards,FAMILY,4.2,19,Free,0,Everyone
Ap Video Downloader for fb New 2018,TOOLS,4.2,676,Free,0,Everyone
AP World History: Practice Tests and Flashcards,FAMILY,4.8,21,Free,0,Everyone
"ap,wifi testing,iperf,ping,android,Bluetooth,tcp",TOOLS,4.7,3,Paid,2.99,Everyone
AP® Guide,FAMILY,5,3,Free,0,Everyone
APN Settings,TOOLS,3.7,3743,Free,0,Everyone
"App Lock: Locker w/ fingerprint, Parental Control",TOOLS,4.5,37607,Free,0,Everyone
App vault,TOOLS,3.4,25094,Free,0,Everyone
AppBrain Ad Detector,TOOLS,3.7,9221,Free,0,Everyone
AppFinder by AppTap,TOOLS,2,2221,Free,0,Everyone
Applock,TOOLS,4.4,4934130,Free,0,Everyone
AppLock,TOOLS,4.4,4931562,Free,0,Everyone
AppLock - Fingerprint,TOOLS,4.4,745245,Free,0,Everyone
AppLock - Fingerprint Unlock,TOOLS,4.5,112482,Free,0,Everyone
Apps Ads Detector,TOOLS,3.5,315,Free,0,Everyone
APUS File Manager (Explorer),TOOLS,4.1,498894,Free,0,Everyone
AQ Aspergers Test,MEDICAL,3.9,265,Free,0,Everyone
AQ Ria Retail,FAMILY,5,4,Free,0,Everyone
Aqw&3d Design Notes Manager,FAMILY,4.5,11,Free,0,Everyone
AR Remote Car,FAMILY,3.2,1354,Free,0,Everyone
AR Sport Cars,FAMILY,3.6,284,Free,0,Everyone
AR Tank Battle,GAME,3.6,153,Free,0,Everyone
AR Toybox - Augmented Reality Demos,FAMILY,3.8,20,Free,0,Everyone
AR Toys: Playground Sandbox | Remote Car,FAMILY,4.5,153,Free,0,Everyone
Arabic Alif Ba Ta For Kids,FAMILY,4.5,226,Free,0,Everyone
Arabic Alphabet Alif Ba Ta Wooden Blocks,FAMILY,4.6,66,Free,0,Everyone
Archery Physics Objects Destruction Apple shooter,GAME,4.5,6026,Free,0,Teen
Arcraft - AR Sandbox,GAME,3.8,469,Free,0,Everyone
Arena of Valor: 5v5 Arena Game,GAME,4.4,438911,Free,0,Teen
Arizona DMV Permit Test - AZ,FAMILY,4.2,109,Free,0,Everyone
Arizona Mobile,FAMILY,4.3,285,Free,0,Everyone
ARK: Survival Evolved,GAME,3.8,51523,Free,0,Teen
Armed Cam Gun Pack,GAME,4.2,1012,Free,0,Teen
Armored Warfare: Assault,GAME,4,7718,Free,0,Everyone
Army of Heroes,FAMILY,4.5,85015,Free,0,Everyone 10+
Arogyam EH,MEDICAL,3.6,18,Free,0,Everyone
Arrow.io,GAME,4.5,343263,Free,0,Everyone 10+
Arrowhead AH App,MEDICAL,5,3,Free,0,Everyone
Art Pixel Coloring. Color by Number.,FAMILY,4.5,992,Free,0,Teen
Artificial Intelligence,FAMILY,3.9,339,Free,0,Everyone
"ARuler - AR Ruler app, Measure tools",TOOLS,4.3,1602,Free,0,Everyone
Asana: organize team projects,BUSINESS,4.3,20815,Free,0,Everyone
ASCCP Mobile,MEDICAL,4.5,63,Paid,9.99,Everyone
Asha Ek Hope - ALS/ MND,MEDICAL,5,2,Free,0,Everyone
Asphalt 8: Airborne,GAME,4.5,8389714,Free,0,Teen
Asphalt Xtreme: Rally Racing,GAME,4.5,567984,Free,0,Everyone
ASRA Coags,MEDICAL,4.4,15,Paid,3.99,Everyone
Assassin's Creed Identity,GAME,3.7,42529,Paid,1.99,Teen
Assault Line CS Online Fps Go,GAME,4.1,52163,Free,0,Mature 17+
Assemblr - Create 3D Models (Sandbox AR),FAMILY,3.8,1745,Free,0,Everyone
Aster DM Healthcare,MEDICAL,2.4,32,Free,0,Everyone
ASUS Sound Recorder,TOOLS,4.5,34126,Free,0,Everyone
Asylum Night Shift - Five Nights Survival,GAME,4,59223,Free,0,Teen
AT&T FamilyMap®,TOOLS,3.5,21592,Free,0,Everyone
AT&T Smart Wi-Fi,TOOLS,3.9,18513,Free,0,Everyone
AT&T THANKS®,FAMILY,3.4,2445,Free,0,Everyone
AT&T U-verse,FAMILY,3.7,38606,Free,0,Everyone
ATI Cargoes and Transportation,BUSINESS,4.7,4162,Free,0,Everyone
Attack the Light,FAMILY,4.7,19209,Paid,2.99,Everyone
au,FAMILY,3.2,9126,Free,0,Everyone
Au-allstar for KR,GAME,3.6,2433,Free,0,Everyone
AU Mobile Indonesia,GAME,3.6,16521,Free,0,Everyone
Au Mobile: Audition Chính Hiệu,GAME,3.9,85278,Free,0,Mature 17+
AU Results - AU COE Corner,FAMILY,4,664,Free,0,Everyone
AU Results 2017 Auzone,FAMILY,3.8,762,Free,0,Everyone
AU Spark,FAMILY,3.7,681,Free,0,Everyone
AU Students Zone (Result 2016),FAMILY,4,97,Free,0,Everyone
Auction Wars : Storage King,GAME,4.1,29062,Free,0,Everyone
Audio Murli Glossary For BK,FAMILY,4.7,39,Free,0,Everyone
Augment - 3D Augmented Reality,BUSINESS,4.1,25195,Free,0,Everyone
Aurum Blade EX,FAMILY,4.3,28151,Free,0,Everyone 10+
Authy 2-Factor Authentication,TOOLS,4.3,15070,Free,0,Everyone
Automagic * Automation,TOOLS,4.7,1947,Paid,3.9,Everyone
Automatic Call Recorder,TOOLS,4.3,1648515,Free,0,Everyone
Autool BT-BOX,TOOLS,3.5,4,Free,0,Everyone
AV Buddy Free,FAMILY,4.1,25,Free,0,Everyone
AV HD Video Player,FAMILY,3.8,6,Free,0,Everyone
AV High School District,FAMILY,3.5,91,Free,0,Everyone
AV Phonetics,FAMILY,4.3,259,Free,0,Everyone
AV Pro Voice Changer,FAMILY,3.5,174,Free,0,Everyone
AV Tools,TOOLS,4.4,631,Free,0,Everyone
AV Tools Pro,TOOLS,4.3,35,Paid,2.49,Everyone
Avakin Life - 3D virtual world,FAMILY,4.4,1275373,Free,0,Teen
"Avast Cleanup & Boost, Phone Cleaner, Optimizer",TOOLS,4.5,648380,Free,0,Everyone
Avast Mobile Security 2018 - Antivirus & App Lock,TOOLS,4.5,5180480,Free,0,Everyone
Avatar Musik,GAME,3.8,159063,Free,0,Everyone
Avaya CX,BUSINESS,4.4,21,Free,0,Everyone
Avenger Legends,FAMILY,4,3715,Free,0,Everyone
AVG AntiVirus 2018 for Android Security,TOOLS,4.5,6207063,Free,0,Everyone
Avokiddo Emotions,FAMILY,4.6,73,Paid,2.99,Everyone
AW Browser with Chrome Custom Tabs,TOOLS,4,9,Free,0,Everyone
Aw Restaurant,FAMILY,4.8,4,Free,0,Everyone
AW Training,FAMILY,4.6,11,Free,0,Everyone
Axe Champ,GAME,3.8,141,Free,0,Everyone
Axe Champion,GAME,4.4,21,Free,0,Everyone
Axe Champs! Wars,GAME,5,8,Free,0,Everyone
Axe Clicker,FAMILY,4.3,10446,Free,0,Everyone
Axe Knight,GAME,4.5,52,Free,0,Everyone
Axe Man,GAME,3.7,53,Free,0,Everyone
Axe Spinner,FAMILY,3,2,Free,0,Everyone
AXE.IO - Brutal Survival Battleground,GAME,4.2,3845,Free,0,Everyone 10+
Axetatic - Axe Throwing Game,GAME,4.6,29,Free,0,Everyone 10+
Axxess AX-DSP,TOOLS,3.5,17,Free,0,Everyone
Axxess Updater,TOOLS,3.9,56,Free,0,Everyone
